"NAICS_Code","Industry","Emission_With_Margins","Diff_From_Avg","Emission_Rank"
323113,Commercial Screen Printing,0.34700000286102295,-0.039,130
323117,Books Printing,0.34700000286102295,-0.039,130
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,0.34599998593330383,-0.04,131
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",0.33899998664855957,-0.047,132
326220,Rubber and Plastics Hoses and Belting Manufacturing,0.33500000834465027,-0.051,133
332721,Precision Turned Product Manufacturing,0.3319999873638153,-0.054,134
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",0.3319999873638153,-0.054,134
212311,Dimension Stone Mining and Quarrying,0.3230000138282776,-0.063,135
212312,Crushed and Broken Limestone Mining and Quarrying,0.3230000138282776,-0.063,135
212313,Crushed and Broken Granite Mining and Quarrying,0.3230000138282776,-0.063,135
212319,Other Crushed and Broken Stone Mining and Quarrying,0.3230000138282776,-0.063,135
336112,Light Truck and Utility Vehicle Manufacturing,0.32199999690055847,-0.064,136
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,0.3199999928474426,-0.066,137
339950,Sign Manufacturing,0.3199999928474426,-0.066,137
333618,Other Engine Equipment Manufacturing,0.3179999887943268,-0.068,138
332710,Machine Shops,0.3140000104904175,-0.072,139
335911,Storage Battery Manufacturing,0.3140000104904175,-0.072,139
311811,Retail Bakeries,0.3140000104904175,-0.072,139
311812,Commercial Bakeries,0.3140000104904175,-0.072,139
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",0.3140000104904175,-0.072,139
713910,Golf Courses and Country Clubs,0.31200000643730164,-0.074,140
713920,Skiing Facilities,0.31200000643730164,-0.074,140
713930,Marinas,0.31200000643730164,-0.074,140
713940,Fitness and Recreational Sports Centers,0.31200000643730164,-0.074,140
713950,Bowling Centers,0.31200000643730164,-0.074,140
713990,All Other Amusement and Recreation Industries,0.31200000643730164,-0.074,140
236210,Industrial Building Construction,0.3100000023841858,-0.076,141
314110,Carpet and Rug Mills,0.30799999833106995,-0.078,142
336120,Heavy Duty Truck Manufacturing,0.3070000112056732,-0.079,143
337211,Wood Office Furniture Manufacturing,0.3050000071525574,-0.081,144
337212,Custom Architectural Woodwork and Millwork Manufacturing,0.3050000071525574,-0.081,144
337214,Office Furniture (except Wood) Manufacturing,0.3050000071525574,-0.081,144
333131,Mining Machinery and Equipment Manufacturing,0.3019999861717224,-0.084,145
333132,Oil and Gas Field Machinery and Equipment Manufacturing,0.3019999861717224,-0.084,145
113110,Timber Tract Operations,0.3009999990463257,-0.085,146
113210,Forest Nurseries and Gathering of Forest Products,0.3009999990463257,-0.085,146
113310,Logging,0.3009999990463257,-0.085,146
335210,Small Electrical Appliance Manufacturing,0.30000001192092896,-0.086,147
337127,Institutional Furniture Manufacturing,0.29899999499320984,-0.087,148
237310,"Highway, Street, and Bridge Construction",0.296999990940094,-0.089,149
327991,Cut Stone and Stone Product Manufacturing,0.29600000381469727,-0.09,150
333921,Elevator and Moving Stairway Manufacturing,0.29600000381469727,-0.09,150
333922,Conveyor and Conveying Equipment Manufacturing,0.29600000381469727,-0.09,150
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",0.29600000381469727,-0.09,150
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",0.29600000381469727,-0.09,150
337124,Metal Household Furniture Manufacturing,0.2939999997615814,-0.092,151
337125,Household Furniture (except Wood and Metal) Manufacturing,0.2939999997615814,-0.092,151
339940,Office Supplies (except Paper) Manufacturing,0.2919999957084656,-0.094,152
336999,All Other Transportation Equipment Manufacturing,0.29100000858306885,-0.095,153
722513,Limited-Service Restaurants,0.28700000047683716,-0.099,154
323120,Support Activites for Printing,0.28600001335144043,-0.1,155
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,0.2849999964237213,-0.101,156
332321,Metal Window and Door Manufacturing,0.2840000092983246,-0.102,157
332322,Sheet Metal Work Manufacturing,0.2840000092983246,-0.102,157
332323,Ornamental and Architectural Metal Work Manufacturing,0.2840000092983246,-0.102,157
335311,"Power, Distribution, and Specialty Transformer Manufacturing",0.2800000011920929,-0.106,158
336111,Automobile Manufacturing,0.27900001406669617,-0.107,159
332991,Ball and Roller Bearing Manufacturing,0.2770000100135803,-0.109,160
236118,Residential Remodelers,0.2770000100135803,-0.109,160
321113,Sawmills,0.27399998903274536,-0.112,161
321114,Wood Preservation,0.27399998903274536,-0.112,161
333995,Fluid Power Cylinder and Actuator Manufacturing,0.27399998903274536,-0.112,161
333996,Fluid Power Pump and Motor Manufacturing,0.27399998903274536,-0.112,161
333111,Farm Machinery and Equipment Manufacturing,0.2709999978542328,-0.115,162
237990,Other Heavy and Civil Engineering Construction,0.27000001072883606,-0.116,163
334413,Semiconductor and Related Device Manufacturing,0.26899999380111694,-0.117,164
114111,Finfish Fishing,0.2669999897480011,-0.119,165
114112,Shellfish Fishing,0.2669999897480011,-0.119,165
114119,Other Marine Fishing,0.2669999897480011,-0.119,165
114210,Hunting and Trapping,0.2669999897480011,-0.119,165
333515,Cutting Tool and Machine Tool Accessory Manufacturing,0.26600000262260437,-0.12,166
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,0.26600000262260437,-0.12,166
333611,Turbine and Turbine Generator Set Units Manufacturing,0.2630000114440918,-0.123,167
333517,Machine Tool Manufacturing,0.2630000114440918,-0.123,167
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",0.2630000114440918,-0.123,167
314910,Textile Bag and Canvas Mills,0.2630000114440918,-0.123,167
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",0.2630000114440918,-0.123,167
314999,All Other Miscellaneous Textile Product Mills,0.2630000114440918,-0.123,167
336212,Truck Trailer Manufacturing,0.2619999945163727,-0.124,168
335931,Current-Carrying Wiring Device Manufacturing,0.26100000739097595,-0.125,169
335932,Noncurrent-Carrying Wiring Device Manufacturing,0.26100000739097595,-0.125,169
333997,Scale and Balance Manufacturing,0.25999999046325684,-0.126,170
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,0.25999999046325684,-0.126,170
333992,Welding and Soldering Equipment Manufacturing,0.25999999046325684,-0.126,170
325411,Medicinal and Botanical Manufacturing,0.25999999046325684,-0.126,170
336214,Travel Trailer and Camper Manufacturing,0.25699999928474426,-0.129,171
